[info] Benchmark                                                       Mode  Cnt    Score    Error  Units
[info] SetBenchmark_Invoice_HalfHit_Large.contains_BitSet              avgt   20    3.449 ±  0.045  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_JavaHashSet         avgt   20   11.095 ±  0.159  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_Set                 avgt   20   57.029 ±  0.398  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_SortedSet           avgt   20  661.987 ±  8.132  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_Array               avgt   20   71.488 ±  0.423  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_ArraySet            avgt   20    0.833 ±  0.015  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_BitSet              avgt   20    2.961 ±  0.047  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_JavaHashSet         avgt   20    5.978 ±  0.109  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_Set                 avgt   20    7.394 ±  0.061  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_SortedSet           avgt   20   18.527 ±  0.220  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_Array           avgt   20    4.621 ±  0.032  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_ArraySet        avgt   20    0.809 ±  0.018  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_BitSet          avgt   20    2.510 ±  0.052  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_JavaHashSet     avgt   20    5.913 ±  0.074  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_Set             avgt   20    5.570 ±  0.115  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_SortedSet       avgt   20    7.925 ±  0.160  us/op

[info] Benchmark                                                       Mode  Cnt    Score    Error  Units
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_ArraySet         avgt   20    2.864 ±  0.173  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_BitSet           avgt   20    3.420 ±  0.016  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_JavaHashSet      avgt   20   12.108 ±  0.132  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_Set              avgt   20   47.849 ±  0.710  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_SortedSet        avgt   20  651.415 ±  5.679  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_Array            avgt   20   71.131 ±  0.593  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_ArraySet         avgt   20    0.885 ±  0.005  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_BitSet           avgt   20    2.976 ±  0.054  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_JavaHashSet      avgt   20    6.582 ±  0.125  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_Set              avgt   20    9.084 ±  0.136  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_SortedSet        avgt   20   18.928 ±  0.327  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_Array        avgt   20    4.635 ±  0.049  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_ArraySet     avgt   20    0.833 ±  0.021  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_BitSet       avgt   20    2.525 ±  0.011  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_JavaHashSet  avgt   20    6.547 ±  0.205  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_Set          avgt   20    6.292 ±  0.143  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_SortedSet    avgt   20    8.636 ±  0.150  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_ArraySet            avgt   20    3.160 ±  0.038  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_BitSet              avgt   20    3.424 ±  0.018  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_JavaHashSet         avgt   20   11.140 ±  0.131  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_Set                 avgt   20   59.711 ±  0.404  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_SortedSet           avgt   20  663.965 ± 12.015  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_Array               avgt   20   72.620 ±  1.410  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_ArraySet            avgt   20    0.855 ±  0.014  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_BitSet              avgt   20    3.107 ±  0.030  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_JavaHashSet         avgt   20    5.958 ±  0.075  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_Set                 avgt   20    7.597 ±  0.106  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_SortedSet           avgt   20   18.501 ±  0.362  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_Array           avgt   20    4.627 ±  0.050  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_ArraySet        avgt   20    0.850 ±  0.008  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_BitSet          avgt   20    2.680 ±  0.046  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_JavaHashSet     avgt   20    5.945 ±  0.084  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_Set             avgt   20    5.570 ±  0.110  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_SortedSet       avgt   20    8.196 ±  0.094  us/op
